REGISTER,ISBN,TITLE,VOLUME,PRINTING,EDITION,LANGUAGE,COPIES,MEDIA_CODE,TYPE_CODE,DEWEY_NO,AUTHOR_CODE,TITLE_CODE,YEAR_PUB,CITY_PUB,PUB_NAME,PHYS_DESCRIPTION,INDEX_,BIBLIOGRAPHY,LOCATION_CODE,SPEC_LOCATION,PRICE,FUND_CODE,FUND_NOTE,ACCEPT_DATE,DATA_ENTRY,OPERATOR_CODE
890200104,979-462-06,Kamus besar bahasa indonesia,,1,1,Indonesia,1,MD001,REF,499.221 3,IDR,k,1988,Jakarta,Balai Pustaka,"xix, 1099hlm.; ilus.; 25cm",,,SMU4,BRA001,$0.00 ,HD,,10/27/2004,10/27/2004,OP001
980200105,979-407-18,Kamus besar bahasa indonesia,,8,2,Indonesia,1,MD001,REF,499.221 3,ALI,k,1996,Jakarta,Balai Pustaka,"xxxiii,1277hlm.; ilus.; 25cm",,,SMU4,BRA001,$0.00 ,HD,,10/27/2004,10/27/2004,OP001
940200106,,Kamus besar bahasa indonesia,,9,,Indonesia,6,MD001,REF,499.221 3,POE,k,1986,Jakarta,Balai Pustaka,1156hlm.; ilus.; 21cm,,,SMU4,BRA001,$0.00 ,HD,,10/27/2004,10/27/2004,OP001
040200112,979-407-18,Kamus besar bahasa indonesia,,1,3,Indonesia,4,MD001,REF,499.221 3,ALW,k,2001,Jakarta,Balai Pustaka,"xxxii,1386hl.;ilus.;25 cm",,,SMU4,BRA001,$0.00 ,HD,,10/27/2004,10/27/2004,OP001
940200116,,Reader's Dictionary,,,2,English,33,MD001,REF,423,HOR,r,1972,Jakarta,Indira,632hlm.; ilus.; 22cm,,,SMU4,BRA001,$0.00 ,HD,,10/27/2004,10/27/2004,OP001
040200149,,Pandai berbahasa inggris : Kamus ungkapan Indonesia-Inggris,,5,,English,1,MD001,REF,423.1,POD,p,1991,Jakarta,Gramedia Pustaka Utama,"xiii,1243hlm.; ilus.; 22 cm",,,SMU4,BRA001,$0.00 ,HD,"
",10/28/2004,10/28/2004,OP001
030200150,979-403-75,Kamus Indonesia - Inggris,,5,3,English,1,MD001,REF,432.1,ECH,k,1997,Jakarta,Gramedia,"xxi,618hlm.; ilus.; 24 cm",,,SMU4,BRA001,$0.00 ,PB,,10/28/2004,10/28/2004,OP001
030200151,,Kamus Inggris-Indonesia,,23,,English,1,MD001,REF,432.1,ECH,k,1996,Jakarta,Gramedia,"xviii,660hlm.; ilus.; 24 cm",,,SMU4,BRA001,$0.00 ,PB,,10/28/2004,10/28/2004,OP001
900200152,,kamus Inggris-Indonesia,,16,,English,1,MD001,REF,432.1,ECH,k,1988,Jakarta,Gramedia,"xiv,660hlm.; ilus.; 23 cm",,,SMU4,BRA001,$0.00 ,PB,,10/28/2004,10/28/2004,OP001
040200158,,"Kamus Lengkap : Inggeris-indonesia, Indonesia-Inggeris",,3,,English,1,MD001,REF,423.1,WOJ,k,1974,Jakarta,Hasta,"266,270hlm.; ilus.; 19 cm",,,SMU4,BRA001,$0.00 ,HD,,10/28/2004,10/28/2004,OP001
110412261,979-963-977-8,Demi Cintaku Padamu,,1,,Indonesia,1,MD001,.,813,PRA,d,2009,Jogyakarta,Gerailmu,283 hlm.; 20 cm,,,SMU4,BRA001,$0.00 ,HD,Sanksi Denda a/n Ima A XII A2 '10/'11,12/19/2011,12/19/2011,OP002
000300075,,Mengukur Sikap Sosial : Pegangan untuk Peneliti dan Praktisi,,2,,Indonesia,1,MD001,.,179,MUE,m,1996,Jakarta,Bumi Aksara,"xi,137hlm.; ilus.; 21cm",,hlm. 132-137,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
850300076,,Bengkel Keluarga : beberapa kasus tentang keluarga ditinjau dari segi psikologi,,2,,Indonesia,1,MD001,.,150,SAR,b,1980,Jakarta,PT Bulan Bintang,"xix, 297hlm.; ilus.; 21 cm",,,SMU4,BRA001,$0.00 ,HD,,10/5/2004,10/5/2004,OP001
030300077,979-688-22,90 menit bersama Plato,,3,,Indonesia,1,MD001,.,184,STR,s,2003,Jakarta,PT Gelora Aksara Pratama,57hlm.; ilus.; 19cm,hlm. 55-57,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
030300079,979-688-23,90 menit bersama Sartre,,2,,Indonesia,1,MD001,.,181.1,STR,s,2002,Jakarta,Erlangga,88hlm.; ilus.; 19 cm,hlm. 87-88,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
820300045,,Perpustakaan sekalah 2,2,5,,Indonesia,1,MD001,.,027,MAR,p,1981,Bandung,Pusat Pengembangan Penataran Guru Tertulis,28hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,PB,,10/6/2004,10/6/2004,OP001
820300046,,Perpustakaan Sekolah 3,3,5,,Indonesia,1,MD001,.,027,MAR,p,1981,Bandung,Pusat Pengembangan Penataran Guru Tertulis,32hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,PB,,10/6/2004,10/6/2004,OP001
820300047,,Perpustakaan sekolah 4,4,1,,Indonesia,1,MD001,.,027,MAR,p,1981,Bandung,Pusat Pengembangan Penataran Guru Tertulis,34hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,PB,,10/6/2004,10/6/2004,OP001
040300086,979-3392-0,Maksimalkan Daya Ingat Anda : menguraikan beberapa ketrampilan yang anda butuhkan untuk meraih kesuksesan dalam dunia bisnis,,1,,Indonesia,1,MD001,.,153.9,LAP,m,2003,Jakarta,Prestasi Pustaka Publisher,"xi,227hlm.; ilus.; 20 cm",,,SMU4,BRA001,$0.00 ,PB,,10/6/2004,10/6/2004,OP001
040300087,979-694-24,"Autisme : Petunjuk praktis dan pedoman materi untk mengajar anak normal, autis dan prilaku lain",,2,,Indonesia,1,MD001,.,153.9,HAN,a,2003,Jakarta,PT. Bhuana Ilmu Populer,"vi,211hlm.; ilus., tab.; 21 cm",,hlm.214,SMU4,BRA001,$0.00 ,PB,,10/6/2004,10/6/2004,OP001
030300088,979-688-20,Instant Motivation : 79 cara instan menumbuhkan Motivasi,,1,,Indonesia,1,MD001,.,153.35,CLE,i,2001,Jakarta,Erlangga,"viii,205hlm.; ilus.; 23 cm",,,SMU4,BRA001,$0.00 ,PB,,10/6/2004,10/6/2004,OP001
030300089,979-688-20,Instant Creativity : 76 cara instan meningkatkan kreativitas anda,,1,,Indonesia,1,MD001,.,153.35,CLE,i,2001,Jakarta,Erlangga,"vii,192 hlm.; ilus.; 23 cm",,,SMU4,BRA001,$0.00 ,PB,"
",10/7/2004,10/7/2004,OP001
040300090,979-95697-,"Melejetkan IQ, IE dan IS",,1,1,Indonesia,1,MD001,.,153.9,SUH,m,2004,Jakarta,Inisiasi Press,"xiii,183hlm.; ilus.; 24 cm",hlm 179-182,hlm. 173-177,SMU4,BRA001,$0.00 ,PB,,10/7/2004,10/7/2004,OP001
040300091,979-9452-1,Revolusi Cara Belajar : keajaiban pikiran sekolah masa depan,,1,,Indonesia,1,MD001,.,153.15,DRY,r,2001,Bandung,Kaifa,556hlm.; ilus.; 24 cm,hlm. 542-553,hlm. 530-536,SMU4,BRA001,$0.00 ,PB,,10/7/2004,10/7/2004,OP001
030300092,979-688-26,90 menit bersama nietzsche,,1,,Indonesia,1,MD001,.,190,STR,s,2002,Jakarta,Erlangga,80hlm.; ilus.; 19 cm,hlm. 78-79,hlm. 77,SMU4,BRA001,$0.00 ,PB,,10/7/2004,10/7/2004,OP001
030300093,979-688-21,90 menit bersama Sokrates,,1,,Indonesia,1,MD001,.,183.2,STR,s,2001,Jakarta,Erlangga,74hlm.; ilus.; 19 cm,hlm. 73,hlm. 72,SMU4,BRA001,$0.00 ,PB,,10/7/2004,10/7/2004,OP001
030300094,979-688-27,90 menit bersama Hegel,,1,,Indonesia,1,MD001,.,183.2,STR,s,2001,Jakarta,Erlangga,80hlm.; ilus.; 19 cm,hlm. 79-80,,SMU4,BRA001,$0.00 ,PB,"
",10/9/2004,10/9/2004,OP001
030300095,979-688-26,90 menit bersama Kant,,1,,Indonesia,1,MD001,.,183.2,STR,s,2002,Jakarta,Erlangga,89hlm.; ilus.; 19 cm,hlm. 88,,SMU4,BRA001,$0.00 ,PB,,10/9/2004,10/9/2004,OP001
030300096,979-688-28,90 menit bersama Machiavelli,,1,,Indonesia,1,MD001,.,183.2,STR,s,2002,Jakarta,Erlangga,96hlm.; ilus.; 19 cm,hlm. 96,,SMU4,BRA001,$0.00 ,PB,,10/9/2004,10/9/2004,OP001
870200165,,The Comtemporary English-Indonesian Dictionary,,,2,English,1,MD001,REF,423.1,SAL,t,1985,jakarta,Modern English Press,"xvii, 2358hlm.; ilus.; 24 cm",,,SMU4,BRA001,$0.00 ,PB,,10/28/2004,10/28/2004,OP001
990300001,979-637-21,Cara mudah memahami : Lotus 1-2-3 for Windows,,3,1,Indonesia,1,MD001,.,005,TEG,c,1997,Jakarta,Pt. Elex Media Komputindo,"vi,102 hlm.; ilus., tab.; 23 cm",,,SMU4,BRA001,$0.00 ,PB,"
",10/5/2004,10/5/2004,OP001
040300002,979-96518-,AIDS gender dan kesehatan reproduksi : Pintu menghargai manusia bagi media,,1,1,Indonesia,1,MD001,.,070.07,SIR,a,2002,Yogyakarta,Lembaga Penelitian Pendidikan Penerbit Yogya,"xx,100 hlm.; ilus.; 21cm",,hlm. 97-100,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
040300003,979-533-48,Rahasia Teknik Pembuatan Virus Komputer,,1,1,Indonesia,1,MD001,.,005.84,SYN,r,1997,Yogyakarta,ANDI,"viii,174hlm.; ilus.; 23cm",,hlm. 175,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
990300005,979-537-78,Panduan Lengkap : Chiwriter 4.1,,2,1,Indonesia,1,MD001,.,005,RAH,p,1996,Jakarta,PT Elex Media Komputindo,"x,197hlm.; ilus.,tab.; 21 cm",,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
990300006,,Pemrograman Musik Komputer Dengan Basic,,1,1,Indonesia,1,MD001,.,006.5,DJA,p,1997,Jakarta,Dinastindo,"vii,205hlm.; ilus.; 21 cm",,hlm. 205,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
840300007,,Buku Kenang-kenangan HUT ke 80,,1,1,Indonesia,1,MD001,.,060,PIN,b,1983,Malang,Taman Harapan,47hlm.; ilus.; 20 cm,,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
860300008,,Klasifikasi Persepuluhan Dan Indeks Relatif  : Sistim perincian golongan buku perpustakaan menurut perihal,,1,1,Indonesia,3,MD001,.,025.4,DEW,k,1977,Jakarta,Akadoma,197hlm.; ilus.; 21 cm,hlm. 132,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
040300016,,Daftar Buku Beranotasi dengan Rekomendasi,,,,Indonesia,1,MD001,.,020,IND,d,1984,Jakarta,Proyek pengembangan Perpustakaan Pusat Pembinaan Perpustakaan Dekdiknas,120hlm.; ilus.; 23 cm,,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
040300024,,Kemana Setelah SMA ?,,,2,Indonesia,5,MD001,.,020,MOE,k,1979,Jakarta,Departemen Pendidikan Dan Kebudayaan,"143hlm.; ilus., tab.; 23 cm",,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
830300033,,Bekerja dimana setelah tamat SMA?,,,,Indonesia,6,MD001,.,020,SIM,b,1984,Jakarta,Departemen Pendidikan dan Kebudayaan,"54hlm.; ilus., tab.; 21 cm",,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
990300034,979-507-24,Membina Majalah Dinding,,2,1,Indonesia,5,MD001,.,T1  05,NUR,m,1999,Jakarta,Adicita Karya Nusa,"viii,114hlm.; ilus.; 21 cm",,hlm. 113-114,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
850300039,,Dengan Guntingan Koran Merintis Hari Depan,,2,,Indonesia,6,MD001,.,070.1,SAS,d,1984,Jakarta,CV Yasaguna,56 hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
820300044,,Perpustakaan Sekolah,1,5,,Indonesia,1,MD001,.,027.8,MAR,p,1981,Bandung,Pusat Pengembangan Penataraan Guru Tertulis,28hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
040300056,,Bibliografi Nasional Indonesia,,,,Indonesia,1,MD001,.,010,NAS,b,1976,Jakarta,Proyek Pengembangan Perpustakaan Departemen Pendidikan Nasional,98hlm.; ilus.; 28 cm,hlm. 65-98,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
040300060,,Pedoman praktis : Komputerisasi perpustakaan sekolah dengan CDS/ISIS,,1,,Indonesia,1,MD001,.,006,PRI,p,1996,Jakarta,PT Gramedia Widiasarana Indonesia,"xv,127hlm.;ilus.; 21 cm",,hlm. 123-125,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
990300061,979-415-95,Daftar Tajuk Subjek untuk perpustakaan,,5,,Indonesia,1,MD001,.,025.49,TAI,d,1998,Jakarta,PT BPK Gunung Mulia,"xxix,146hlm.; ilus.; 25 cm",,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
830300073,,Pembentukan dan Pendidikan watak,,4,,Indonesia,1,MD001,.,178,DUM,p,1982,Jakarta,Pradnya Paramita,106hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,HD,,10/5/2004,10/5/2004,OP001
820300048,,Perpustakaan sekolah 5,5,5,,Indonesia,1,MD001,.,027,MAR,p,1981,Bandung,Pusat Pengembangan Penataraan Guru Tertulis,48hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,PB,,10/6/2004,10/6/2004,OP001
040300085,,Bekal Minimal Seorang Pemimpin,,1,,Indonesia,1,MD001,.,158.4,IRM,b,2004,?,Seyma media,"vii,159hlm,; ilus.; 19 cm",,,SMU4,BRA001,$0.00 ,PB,,10/6/2004,10/6/2004,OP001
040300004,,Word Star 6.0,,1,4,Indonesia,1,MD001,.,005.7,ARI,w,1992,Jakarta,PT Elex Media Komputindo,"xi,268hlm.; ilus.,tab.; 21 cm",,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
040300011,,Daftar buku dengan anotasi : Pedoman untuk memilih buku bagi perpustakaan sekolah,,,,Indonesia,1,MD001,.,020,IND,d,1976,Jakarta,Proyek Pengembangan Perpustakaan Pusat Pembinaan Perpustakaan Depdiknas,181hlm.; ilus.; 23 cm,,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
040300012,,Daftar Buku Beranotasi dengan Rekomendasi : Pedoman untuk memilih buku bagi perpustakaan sekolah,,,,Indonesia,1,MD001,.,028,SUK,d,1983,Jakarta,Proyek Pengembangan Perpustakaan Pusat Pembinaan Perpustakaan Depdiknas,110hlm.; ilus.; 24 cm,,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
040300013,,Daftar Buku Tiga Serangkai,,,,Indonesia,2,MD001,.,020,TIM,d,1982,Solo,Tiga Serangkai,176hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
040300017,,Kemana Setelah SMA?,,,,Indonesia,7,MD001,.,020,HID,k,1977,Jakarta,Departemen Pendidikan Dan Kebudayaan,"vi,106hlm.; ilus.; 21 cm",,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
850300057,,Pedoman Penyelenggaraan Perpustakaan Sekolah Menengah Tingkat Pertama,,1,,Indonesia,3,MD001,.,020,PAE,p,1983,Jakarta,PT Balai Pustaka,89hlm.; ilus.; 28 cm,,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
040300061,,Daftar Tajuk Subjek Perpustakaan Nasional A-K,,3,,Indonesia,1,MD001,.,025.32,DEN,d,1987,Jakarta,Proyek Pengembangan Perpustakaan Nasional 1986/1987,436hlm.; ilus.; 28 cm,,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
040300062,,Daftar Tajuk Subjek Perpustakaan Nasional L-Z,,3,,Indonesia,1,MD001,.,025.32,DEN,d,1986,Jakarta,Proyek pengmbangan Perpustakaan Nasional 1986/1987,833hlm.; ilus.; 28 cm,,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
990300063,979-8006-3,"Peraturan Katalogisasi Indonesia : Deskripsi Bibliografi (ISBD), Penentuan Tajuk untuk Entri, Judlul Seragam",,1,4,Indonesia,1,MD001,.,025.32,HAR,p,1996,Jakarta,Proyek Pengembangan Sistem Nasional Perpustakaan 1996-1997,"ix,169hlm.; ilus.; 29cm",,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
030300064,979-688-23,"Feng Shui Praktis : Menata,mendekorasi, dan mempercantik rumah untuk meningkatkan kesehatan, kekayaan, dan kebahagiaan Anda",,1,,Indonesia,1,MD001,.,133.333,BRO,f,2004,Jakarta,Erlangga,160hlm.; ilus.; 26 cm,hlm. 156-159,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
020300065,979-9542-4,"Bengkel Kreativitas : 10 Cara menemukan ide-ide pamungkas melalui pergaulan, lingkungan, perjalanan, permainan, bacaan, seni, teknologi, berfikir, alam bawah sadar, jiwa kreatif",,2,,Indonesia,1,MD001,.,153.35,AYA,b,2002,bandung,Kaifa,312hlm.; ilus.; 27 cm,hlm. 309-312,,SMU4,BRA001,$0.00 ,HD,,10/5/2004,10/5/2004,OP001
020300066,979-9452-4,Otak Sejuta Gigabyte : Buku pintar membangun ingatan super,,2,,Indonesia,1,MD001,.,153.1,JEN,o,2002,Bandung,Kaifa,246hlm.; ilus.; 28 cm,hlm. 243-245,hlm. 241-242,SMU4,BRA001,$0.00 ,HD,,10/5/2004,10/5/2004,OP001
860300067,,Tiga Suri Teladan : Kisah Kepahlawanan Tiga Tokoh Cerita Wayang,,2,,Indonesia,4,MD001,.,181.16,KAM,t,1985,Jakarta,UP. Indonesia,89 hlm.; ilus.; 20 cm,,,SMU4,BRA001,$0.00 ,HD,,10/5/2004,10/5/2004,OP001
850300069,,Wayang dan karakter manusia,,2,,Indonesia,4,MD001,.,170,MUL,w,1978,Jakarta,CV Kurnia Esa,152hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,HD,,10/5/2004,10/5/2004,OP001
850300074,,Pengantar Psikologi Umum,,4,,Indonesia,1,MD001,.,150,PAT,p,1982,Surabaya,Usaha Nasional,"vii,198hlm.; ilus.; 21 cm",,,SMU4,BRA001,$0.00 ,HD,,10/5/2004,10/5/2004,OP001
030300078,979-688-21,90 menit bersama Aristoteles,,3,,Indonesia,1,MD001,.,185,STR,s,2002,Jakarta,Erlangga,77hlm.; ilus.; 19 cm,hlm. 75-77,,SMU4,BRA001,$0.00 ,PB,,10/5/2004,10/5/2004,OP001
040300083,979-9341-4,Krisis Orgasme Nasional,,,,Indonesia,1,MD001,.,170,GUN,k,2002,Yogyakarta,Galang Press,"xxviii,262hlm.; ilus.; 18 cm",,,SMU4,BRA001,$0.00 ,PB,,10/6/2004,10/6/2004,OP001
040300084,979-3417-3,Tips Gaul Buat Remaja,,1,,Indonesia,1,MD001,.,153.8,FAR,t,2004,Jogyakarta,Saujana,104hlm.; ilus.; 18 cm,,hlm. 89-90,SMU4,BRA001,$0.00 ,PB,,10/6/2004,10/6/2004,OP001
010200153,979-411-75,"Oxford-Erlangga : Kamus Dwibahasa (Inggris-Indonesia, Indonesia-Inggris)",,1,2,English,4,MD001,REF,423.1,HAW,o,1999,Jakarta,Erlangga,"333,186hlm.; ilus.; 24 cm",,,SMU4,BRA001,$0.00 ,PB,,10/28/2004,10/28/2004,OP001
930200157,979-8011,"Kamus Umum Lengkap : Inggris-Indonesia, Indonesia-Inggris",,2,,English,1,MD001,REF,423.1,NAS,k,1991,Jakarta,Mutiara Sumber Widya,"xii,306, 256hlm.; ilus.; 21 cm",,,SMU4,BRA001,$0.00 ,HD,,10/28/2004,10/28/2004,OP001
900200159,,Kamus Umum : Inggris-Indonesia; Indonesia-Inggris disertai cara mengungkapkan,,1,,English,3,MD001,REF,423.1,BAR,k,1989,Surabaya,Indah,491hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,PB,,10/28/2004,10/28/2004,OP001
840200162,,"Ksatrya vocabulary :  Kamus Inggeris-Indonesia, Inggeris-Indonesia",,5,,English,4,MD001,REF,423.1,NUH,k,1952,Jakarta,Perpustakaan Kesatria,258hlm.; ilus.; 19 cm,,,SMU4,BRA001,$0.00 ,HD,,10/28/2004,10/28/2004,OP001
870200166,,The Comtemporary English-Indonesian Dictionary,,,2,English,1,MD001,REF,423.1,SAL,t,1985,jakarta,Modern English Press,"xvii, 2358hlm.; ilus.; 24 cm",,,SMU4,BRA001,$0.00 ,PB,,10/28/2004,10/28/2004,OP001
030200167,0-19-43128,Oxfordlearner's pocket dictionary,,5,2,English,2,MD001,REF,423.1,MAN,o,1995,New York,Oxfort University Press,"vi,490hlm.; ilus.; 16 cm",,,SMU4,BRA001,$0.00 ,PB,,10/28/2004,10/28/2004,OP001
030200169,0-19-43142,Oxford advanced learner's dictionary,,,5,English,1,MD001,REF,423.1,CRO,o,1995,New York,Oxford University Press,"x,1428hlm.; ilus.; 23 cm",,,SMU4,BRA001,$0.00 ,PB,,10/28/2004,10/28/2004,OP001
970200170,,Kamus Sejuta ungkapan pribahasa Indonesia,,27,,Indonesia,1,MD001,REF,398,ALI,k,1996,Surabaya,Indah,"529hlm.; ilus.; 17,5 cm",,,SMU4,BRA001,$0.00 ,PB,,10/30/2004,10/30/2004,OP001
990200170,979-403-27,Kamus Sains Bergambar,,5,1,Indonesia,5,MD001,REF,503,GOD,k,1999,Jakarta,Gramedia Pustaka Utama,"xiv,331 hlm.; ilus.tab.; 18 cm",hlm. : 312-331,,SMU4,BRA001,$0.00 ,HD,"
",11/5/2004,11/5/2004,OP001
000200175,,"Kamus Ungkapan Dan Peribahasa Indonesia : SLTP, SLTA dan Umum",,1,,Indonesia,1,MD001,REF,389,CHA,k,1996,Bandung,Pustaka Setia,360hlm.; ilus.; 21cm,,,SMU4,BRA001,$0.00 ,HD,,11/5/2004,11/5/2004,OP001
860200176,,Kamus Penyukuan Kata Indonesia,,,,Indonesia,2,MD001,REF,4x0.203,SUP,k,1982,Jakarta,Sinar Pengetahuan,173hlm.; ilus.; 20 cm,,,SMU4,BRA001,$0.00 ,HD,,11/5/2004,11/5/2004,OP001
860200178,,Kamus Ungkapan bahasa Indonesia,,10,,Indonesia,1,MD001,REF,499,BAD,k,1983,Bandung,Harapan,309hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,HD,,11/5/2004,11/5/2004,OP001
000200179,979-518-68,Kamus Synonym Dan Antonym : Untuk Ujian TOEFL dan IELTS,,1,,English,1,MD001,REF,401,SYA,k,1996,Jakarta,Rineka Cipta,318hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,HD,,11/5/2004,11/5/2004,OP001
990200204,979-518-68,Kamus Synonym Dan Antonym : Untuk Ujian TOEFL dan IELTS,,1,,English,1,MD001,REF,401,SYA,k,1996,Jakarta,Rineka Cipta,318hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,HD,,11/5/2004,11/5/2004,OP001
000200180,,Kamus Psichologi,,1,,Indonesia,1,MD001,REF,370.15,ANS,k,1996,Jakarta,Usaha Nasional,"x, 758hlm.; ilus.; 23 cm",,,SMU4,BRA001,$0.00 ,PB,"
",11/5/2004,11/5/2004,OP001
